Date,Consumption,Holiday
2022-12-12,0.0000,1
2022-12-13,0.0000,1
2022-12-14,0.0300,1
2022-12-15,0.0000,1
2022-12-16,0.0000,1
2022-12-17,0.0200,1
2022-12-18,0.2800,0
2022-12-19,0.5800,0
2022-12-2,0.0200,0
2022-12-20,0.4500,0
2022-12-21,0.5600,0
2022-12-22,0.6100,0
2022-12-23,0.5700,0
2022-12-24,0.6900,0
2022-12-25,0.5700,0
2022-12-26,0.6500,0
2022-12-27,0.5600,0
2022-12-28,0.7700,0
2022-12-29,0.7800,0
2022-12-3,0.0500,0
2022-12-30,0.5500,0
2022-12-31,0.7400,0
2022-12-4,0.0700,0
2022-12-5,0.0200,1
2022-12-6,0.0100,1
2022-12-7,0.0700,1
2022-12-8,0.0100,1
2022-12-9,0.0000,1
2022-9-14,0.0000,0
2022-9-15,0.2000,0
2022-9-16,0.6800,0
2022-9-17,0.8600,0
2022-9-18,0.7100,0
2022-9-19,0.6900,0
2022-9-20,0.5900,0
2022-9-21,0.7100,0
2022-9-22,0.8400,0
2022-9-23,0.5700,0
2022-9-24,0.6400,0
2022-9-25,0.4900,0
2022-9-26,0.6300,0
2022-9-27,0.5200,0
2022-9-28,0.8400,0
2022-9-29,0.6200,0
2022-9-30,0.5900,0
2023-1-1,0.3100,1
2023-1-10,0.6700,0
2023-1-11,0.7300,0
2023-1-12,0.6700,0
2023-1-13,0.6600,0
2023-1-2,0.6100,1
2023-1-3,0.4700,1
2023-1-4,0.7000,0
2023-1-5,0.6400,0
2023-1-6,0.5800,0
2023-1-7,0.7000,0
2023-1-8,0.5100,0
2023-1-9,0.6900,0
2022-10-1,0.4900,0
2022-10-10,0.3900,0
2022-10-11,0.5400,0
2022-10-12,0.4500,0
2022-10-13,0.4300,0
2022-10-14,0.6200,0
2022-10-15,0.3400,0
2022-10-16,0.2500,0
2022-10-17,0.8000,0
2022-10-18,0.3700,0
2022-10-19,0.4100,0
2022-10-2,0.4200,0
2022-10-20,0.4900,0
2022-10-21,0.3300,0
2022-10-22,0.4100,0
2022-10-23,0.0500,0
2022-10-24,0.0000,0
2022-10-25,0.0500,0
2022-10-26,0.4200,0
2022-10-27,0.4200,0
2022-10-28,0.6500,0
2022-10-29,0.4200,0
2022-10-3,0.9900,0
2022-10-30,0.4200,0
2022-10-31,0.5200,0
2022-10-4,0.5000,0
2022-10-5,0.5200,0
2022-10-6,0.5200,0
2022-10-7,0.3300,0
2022-10-8,0.4900,0
2022-10-9,0.6100,0
2022-11-1,0.4600,0
2022-11-10,0.6600,0
2022-11-11,0.6200,0
2022-11-12,0.3700,0
2022-11-13,0.5700,0
2022-11-14,0.5400,0
2022-11-15,0.6900,0
2022-11-16,0.4100,0
2022-11-17,0.4800,0
2022-11-18,0.4700,0
2022-11-19,0.3400,0
2022-11-2,0.4300,0
